date,year,month,precip_total_mm,evaporation_total_mm,temp_celsius_mean,soil_moisture_m3m3,q_inflow_muesch_mm,obs_runoff_altenahr_mm
2004-08,2004,8,75.13,96.45,17.78,0.261,23.21,32.01
2004-09,2004,9,57.81,61.31,16.5,0.29,18.79,31.04
2004-10,2004,10,34.29,27.88,10.81,0.288,15.53,19.85
2004-11,2004,11,62.31,11.38,4.69,0.402,30.05,40.88
2004-12,2004,12,64.25,9.42,2.87,0.421,35.6,48.43
2005-01,2005,1,56.01,8.58,2.7,0.428,34.49,45.79
2005-02,2005,2,55.6,16.72,1.89,0.44,33.68,44.62
2005-03,2005,3,55.32,36.33,7.19,0.425,31.14,43.34
2005-04,2005,4,48.52,63.18,9.43,0.361,23.02,30.93
2005-05,2005,5,63.73,94.93,13.12,0.302,26.14,32.08
2005-06,2005,6,48.96,116.63,18.15,0.24,18.0,24.99
2005-07,2005,7,74.3,96.82,18.99,0.24,21.95,33.15
2005-08,2005,8,65.99,84.87,18.11,0.249,21.0,28.07
2005-09,2005,9,46.2,58.46,14.89,0.271,16.19,22.36
2005-10,2005,10,63.17,23.46,8.41,0.342,23.46,33.32
2005-11,2005,11,69.77,14.24,6.43,0.417,31.68,44.07
2005-12,2005,12,59.08,8.48,2.15,0.411,33.07,43.26
2006-01,2006,1,76.33,10.89,1.67,0.44,41.28,56.98
2006-02,2006,2,49.42,14.89,2.62,0.44,31.09,40.64
2006-03,2006,3,58.41,34.02,7.94,0.433,32.52,46.42
2006-04,2006,4,40.15,64.51,10.02,0.34,22.4,26.45
2006-05,2006,5,50.87,82.23,11.55,0.282,19.06,25.81
2006-06,2006,6,69.01,106.6,19.45,0.267,24.05,31.49
2006-07,2006,7,59.77,114.9,17.32,0.224,21.05,28.69
2006-08,2006,8,61.16,74.83,20.12,0.243,19.02,28.63
2006-09,2006,9,36.62,52.71,14.61,0.254,14.14,18.67
2006-10,2006,10,68.34,24.76,9.93,0.351,26.25,37.3
2006-11,2006,11,75.52,10.47,3.56,0.429,35.67,48.39
2006-12,2006,12,63.32,10.08,2.64,0.42,35.68,47.21
2007-01,2007,1,99.56,11.14,1.5,0.44,49.67,68.28
2007-02,2007,2,70.52,12.82,3.42,0.44,39.25,49.64
2007-03,2007,3,42.98,24.24,5.88,0.395,26.41,36.92
2007-04,2007,4,49.09,69.81,8.14,0.362,20.78,30.6
2007-05,2007,5,67.67,88.25,11.62,0.308,24.77,32.66
2007-06,2007,6,76.64,106.9,16.07,0.277,24.57,33.54
2007-07,2007,7,73.47,120.94,17.72,0.239,23.14,30.98
2007-08,2007,8,56.3,92.99,17.26,0.237,17.16,22.89
2007-09,2007,9,80.78,57.04,13.76,0.329,28.02,39.05
2007-10,2007,10,57.18,30.49,11.01,0.331,21.67,29.94
2007-11,2007,11,61.35,8.76,3.58,0.4,30.31,42.48
2007-12,2007,12,71.65,9.09,2.87,0.436,41.18,54.14
2008-01,2008,1,66.57,8.15,-0.13,0.44,37.81,50.05
2008-02,2008,2,37.24,13.37,1.3,0.419,28.6,37.33
2008-03,2008,3,58.0,37.8,6.29,0.432,30.17,44.58
2008-04,2008,4,54.03,51.13,9.57,0.374,23.54,31.47
2008-05,2008,5,75.11,108.9,12.42,0.32,27.99,37.4
2008-06,2008,6,59.64,95.12,16.16,0.255,20.26,26.87
2008-07,2008,7,78.93,107.85,18.61,0.245,22.97,32.61
2008-08,2008,8,79.53,99.86,17.33,0.266,24.54,35.6
2008-09,2008,9,35.69,60.5,13.8,0.253,14.51,18.02
2008-10,2008,10,36.24,22.85,10.16,0.292,16.07,20.25
2008-11,2008,11,74.47,9.69,5.32,0.427,32.27,45.41
2008-12,2008,12,76.59,7.62,2.04,0.44,40.47,53.42
2009-01,2009,1,81.09,7.95,2.44,0.44,44.11,54.9
2009-02,2009,2,44.7,15.5,2.36,0.44,29.85,38.72
2009-03,2009,3,59.21,31.5,7.6,0.435,31.99,43.9
2009-04,2009,4,43.92,54.98,9.28,0.349,21.52,28.22
2009-05,2009,5,66.38,110.67,15.15,0.306,24.08,35.74
2009-06,2009,6,60.8,77.36,15.99,0.256,18.29,27.37
2009-07,2009,7,74.8,130.33,19.29,0.24,22.64,33.3
2009-08,2009,8,35.02,96.86,19.43,0.211,10.54,18.09
2009-09,2009,9,60.6,53.97,15.36,0.295,23.86,30.63
2009-10,2009,10,63.38,26.83,9.08,0.342,25.39,33.02
2009-11,2009,11,66.33,11.41,5.97,0.41,30.95,43.91
2009-12,2009,12,67.29,8.22,1.33,0.427,35.26,49.3
2010-01,2010,1,79.91,8.18,2.84,0.44,43.61,58.63
2010-02,2010,2,76.58,13.15,1.11,0.44,37.85,56.42
2010-03,2010,3,66.46,31.89,6.54,0.44,32.89,50.26
2010-04,2010,4,49.67,59.17,10.67,0.363,23.61,32.11
2010-05,2010,5,51.55,93.61,16.36,0.283,21.51,30.3
2010-06,2010,6,59.29,90.24,17.05,0.254,20.17,29.61
2010-07,2010,7,67.8,128.41,18.71,0.233,20.48,27.68
2010-08,2010,8,62.89,103.51,18.59,0.245,18.08,25.1
2010-09,2010,9,52.23,68.18,14.29,0.281,16.77,24.92
2010-10,2010,10,56.49,19.21,10.03,0.329,21.81,31.63
2010-11,2010,11,91.86,13.74,5.08,0.44,38.6,59.28
2010-12,2010,12,111.34,8.51,2.47,0.44,51.03,70.47
2011-01,2011,1,59.85,8.6,1.76,0.437,34.6,46.49
2011-02,2011,2,55.47,14.06,4.4,0.44,29.8,45.35
2011-03,2011,3,74.03,24.11,5.79,0.44,36.3,48.38
2011-04,2011,4,40.03,50.62,11.9,0.339,20.86,29.07
2011-05,2011,5,72.31,76.6,13.47,0.316,26.97,35.18
2011-06,2011,6,77.28,99.45,16.75,0.278,26.23,36.52
2011-07,2011,7,68.58,123.59,17.6,0.234,21.94,30.77
2011-08,2011,8,63.56,97.89,17.0,0.246,20.93,27.83
2011-09,2011,9,49.91,63.95,13.75,0.277,16.19,21.99
2011-10,2011,10,68.11,24.04,12.21,0.351,23.53,38.17
2011-11,2011,11,68.33,11.96,4.75,0.414,31.8,43.44
2011-12,2011,12,94.2,8.62,2.68,0.44,44.67,62.16
2012-01,2012,1,73.14,7.31,0.18,0.44,40.63,54.79
2012-02,2012,2,52.01,14.53,3.02,0.44,31.19,41.64
2012-03,2012,3,60.6,28.33,6.69,0.438,30.2,45.04
2012-04,2012,4,53.32,60.19,10.98,0.372,26.34,35.61
2012-05,2012,5,37.13,75.0,13.35,0.26,15.78,22.22
2012-06,2012,6,56.13,104.69,16.29,0.25,18.49,24.34
2012-07,2012,7,59.37,90.9,17.73,0.224,20.01,25.06
2012-08,2012,8,107.7,99.78,18.72,0.301,32.2,47.94
2012-09,2012,9,49.26,57.63,17.67,0.276,17.58,26.24
2012-10,2012,10,50.8,28.28,12.22,0.319,19.48,30.48
2012-11,2012,11,75.47,11.28,6.16,0.429,35.28,48.68
2012-12,2012,12,49.61,7.76,2.2,0.393,29.15,40.31
2013-01,2013,1,71.18,7.73,2.26,0.44,39.82,54.39
2013-02,2013,2,67.09,15.95,3.15,0.44,36.75,47.73
2013-03,2013,3,63.59,32.9,6.53,0.44,31.75,43.53
2013-04,2013,4,59.49,58.12,10.62,0.388,26.65,36.83
2013-05,2013,5,75.28,83.11,14.22,0.321,26.81,37.44
2013-06,2013,6,62.26,105.13,16.63,0.258,22.45,28.29
2013-07,2013,7,71.44,102.77,20.64,0.237,22.21,32.41
2013-08,2013,8,45.91,97.22,19.57,0.225,15.17,22.53
2013-09,2013,9,49.98,66.41,17.36,0.277,17.47,24.06
2013-10,2013,10,79.32,33.78,9.47,0.372,29.54,41.62
2013-11,2013,11,45.99,10.77,4.2,0.368,22.27,31.24
2013-12,2013,12,79.71,10.08,1.3,0.44,41.48,55.45
2014-01,2014,1,67.75,9.95,0.45,0.44,38.41,52.07
2014-02,2014,2,60.07,15.0,5.55,0.44,33.74,45.85
2014-03,2014,3,50.14,29.96,5.44,0.412,29.61,40.78
2014-04,2014,4,42.24,52.57,10.37,0.345,19.81,28.64
2014-05,2014,5,65.19,72.48,15.96,0.304,26.24,33.23
2014-06,2014,6,61.1,105.91,17.6,0.256,21.41,31.95
2014-07,2014,7,71.6,98.11,17.24,0.237,21.15,30.54
2014-08,2014,8,95.13,88.35,18.77,0.285,29.17,43.12
2014-09,2014,9,87.75,53.18,14.01,0.341,31.46,44.07
2014-10,2014,10,84.52,30.39,9.67,0.382,32.69,46.88
2014-11,2014,11,77.09,12.84,6.68,0.433,36.16,50.83
2014-12,2014,12,86.62,8.33,2.68,0.44,44.04,57.95
2015-01,2015,1,74.06,8.77,1.83,0.44,41.58,55.46
2015-02,2015,2,54.75,12.13,3.5,0.44,33.52,47.8
2015-03,2015,3,54.17,32.94,6.5,0.422,31.61,40.87
2015-04,2015,4,51.26,62.66,10.02,0.367,23.06,32.55
2015-05,2015,5,77.14,77.69,14.26,0.324,27.15,40.69
2015-06,2015,6,44.42,95.53,17.65,0.235,17.91,22.53
2015-07,2015,7,65.4,132.99,17.16,0.23,17.7,28.29
2015-08,2015,8,60.67,82.66,19.35,0.243,19.31,25.86
2015-09,2015,9,40.51,62.75,15.38,0.261,15.05,23.63
2015-10,2015,10,45.95,23.2,9.27,0.31,18.65,26.12
2015-11,2015,11,61.83,12.61,3.9,0.401,30.59,40.18
2015-12,2015,12,94.43,8.85,3.05,0.44,45.87,63.37
2016-01,2016,1,78.19,10.67,2.04,0.44,42.27,56.81
2016-02,2016,2,71.37,13.32,4.76,0.44,38.21,50.15
2016-03,2016,3,59.74,29.48,7.21,0.436,31.11,42.7
2016-04,2016,4,28.22,55.23,6.89,0.31,14.08,21.95
2016-05,2016,5,73.19,93.12,12.94,0.317,26.62,37.23
2016-06,2016,6,97.06,120.87,18.25,0.304,31.37,44.62
2016-07,2016,7,77.92,81.92,18.6,0.244,22.96,31.64
2016-08,2016,8,63.98,114.52,19.27,0.247,19.25,28.6
2016-09,2016,9,73.76,63.1,14.67,0.318,24.61,36.51
2016-10,2016,10,65.3,31.45,10.86,0.346,26.31,34.54
2016-11,2016,11,84.23,12.39,7.89,0.44,36.57,54.5
2016-12,2016,12,79.1,7.84,1.92,0.44,39.71,55.65
2017-01,2017,1,76.38,8.57,1.77,0.44,43.39,59.19
2017-02,2017,2,59.4,14.57,2.74,0.44,35.02,45.25
2017-03,2017,3,54.81,25.67,6.68,0.424,30.74,40.32
2017-04,2017,4,65.03,49.81,8.04,0.402,28.99,41.49
2017-05,2017,5,85.52,83.72,15.39,0.337,30.8,43.02
2017-06,2017,6,79.79,110.42,15.31,0.281,27.92,39.31
2017-07,2017,7,64.25,113.65,19.49,0.229,20.35,27.24
2017-08,2017,8,58.12,93.91,19.91,0.24,18.97,25.24
2017-09,2017,9,65.98,37.38,15.98,0.304,20.75,30.84
2017-10,2017,10,45.3,23.99,11.49,0.308,17.94,25.83
2017-11,2017,11,64.63,12.79,5.49,0.407,28.36,42.33
2017-12,2017,12,67.57,6.91,1.99,0.428,37.7,50.86
2018-01,2018,1,63.25,8.81,1.41,0.44,38.95,50.84
2018-02,2018,2,59.33,16.29,2.89,0.44,33.95,46.13
2018-03,2018,3,57.18,31.96,7.07,0.43,30.95,43.26
2018-04,2018,4,47.44,58.95,7.4,0.358,23.35,31.32
2018-05,2018,5,76.1,57.81,16.61,0.322,27.47,40.26
2018-06,2018,6,23.18,126.42,18.44,0.207,9.94,16.96
2018-07,2018,7,32.12,128.03,22.44,0.194,12.56,16.69
2018-08,2018,8,33.15,139.57,20.93,0.209,12.1,17.89
2018-09,2018,9,31.55,74.62,17.87,0.246,11.34,19.37
2018-10,2018,10,44.94,29.43,9.19,0.308,18.32,25.79
2018-11,2018,11,69.92,12.71,7.34,0.418,32.47,44.03
2018-12,2018,12,91.88,9.71,1.03,0.44,45.05,62.53
2019-01,2019,1,64.02,10.72,1.62,0.44,36.87,49.67
2019-02,2019,2,54.39,12.59,0.87,0.44,34.54,43.45
2019-03,2019,3,45.43,23.81,5.43,0.401,24.85,37.69
2019-04,2019,4,59.03,53.58,12.5,0.387,27.62,36.4
2019-05,2019,5,28.09,112.96,12.43,0.245,11.34,18.84
2019-06,2019,6,102.65,119.41,17.88,0.311,34.2,48.83
2019-07,2019,7,86.94,112.16,19.03,0.253,26.27,35.95
2019-08,2019,8,63.99,75.06,18.38,0.247,18.75,25.94
2019-09,2019,9,58.63,66.29,15.7,0.292,18.64,26.6
2019-10,2019,10,72.54,25.05,9.83,0.359,28.25,37.38
2019-11,2019,11,66.81,10.16,4.68,0.411,31.12,40.23
2019-12,2019,12,83.15,8.48,3.16,0.44,41.71,59.2
2020-01,2020,1,70.39,8.73,1.95,0.44,39.48,53.22
2020-02,2020,2,54.68,13.28,1.8,0.44,31.04,46.41
2020-03,2020,3,42.2,29.43,5.34,0.393,26.34,33.89
2020-04,2020,4,61.56,53.68,10.13,0.393,26.39,40.83
2020-05,2020,5,46.1,91.89,14.86,0.274,18.79,24.98
2020-06,2020,6,64.89,102.94,17.02,0.261,22.86,33.94
2020-07,2020,7,65.36,90.67,18.79,0.23,23.43,28.13
2020-08,2020,8,92.79,113.16,17.84,0.282,29.14,42.94
2020-09,2020,9,51.7,55.41,13.9,0.28,17.2,24.26
2020-10,2020,10,43.92,28.52,9.18,0.306,18.36,22.61
2020-11,2020,11,70.05,13.31,3.01,0.418,32.43,46.29
2020-12,2020,12,55.63,10.21,3.0,0.405,30.56,42.21
2021-01,2021,1,76.91,9.28,2.45,0.44,39.89,56.01
2021-02,2021,2,37.34,14.31,1.52,0.419,25.73,37.04
2021-03,2021,3,72.05,34.45,4.89,0.44,35.71,51.38
2021-04,2021,4,49.81,74.65,10.27,0.364,23.31,31.27
2021-05,2021,5,64.23,86.98,14.95,0.303,24.93,32.23
2021-06,2021,6,112.5,104.2,19.4,0.31,15.4,18.2
2021-07,2021,7,186.4,98.5,18.1,0.36,32.8,88.6
2021-08,2021,8,74.2,86.4,17.5,0.28,12.1,14.8
2021-09,2021,9,57.42,56.13,15.7,0.29,19.8,28.41
2021-10,2021,10,64.35,26.12,11.29,0.344,24.51,33.29
2021-11,2021,11,73.01,10.8,5.43,0.424,33.13,47.61
2021-12,2021,12,83.72,8.47,3.48,0.44,43.3,58.68
