date,year,month,precip_total_mm,evaporation_total_mm,temp_celsius_mean,soil_moisture_m3m3,q_inflow_guddu_mm,obs_runoff_mm,grace_twsa_mm
2004-02,2004,2,7.89,9.51,19.42,0.139,5.86,4.57,2.18
2004-03,2004,3,7.88,14.02,26.06,0.116,7.69,6.42,6.34
2004-04,2004,4,3.61,12.11,30.16,0.115,7.03,4.5,3.76
2004-05,2004,5,4.32,11.01,33.65,0.101,11.54,8.32,2.44
2004-06,2004,6,17.62,16.58,35.17,0.117,18.03,14.93,8.16
2004-07,2004,7,38.74,43.28,33.51,0.246,44.09,38.16,17.4
2004-08,2004,8,48.77,59.19,31.04,0.316,42.29,42.35,21.33
2004-09,2004,9,13.34,35.48,31.24,0.202,20.75,17.99,6.89
2004-10,2004,10,2.6,16.27,28.33,0.15,8.38,6.74,4.39
2004-11,2004,11,0.47,10.13,23.87,0.12,6.3,4.5,4.34
2004-12,2004,12,2.13,7.56,16.75,0.146,5.62,4.5,7.11
2005-01,2005,1,2.65,7.9,16.1,0.131,7.33,7.43,2.81
2005-02,2005,2,5.85,9.76,19.02,0.123,7.0,6.57,3.57
2005-03,2005,3,3.01,14.28,25.9,0.121,7.92,6.36,0.63
2005-04,2005,4,2.39,11.61,31.47,0.11,7.82,5.65,-0.26
2005-05,2005,5,4.12,12.65,35.23,0.099,12.5,9.15,4.45
2005-06,2005,6,8.37,16.08,35.45,0.121,19.27,14.79,7.19
2005-07,2005,7,58.91,50.11,32.86,0.265,53.64,52.02,16.83
2005-08,2005,8,80.49,64.06,32.08,0.308,50.57,55.64,24.34
2005-09,2005,9,22.71,40.06,31.31,0.204,24.64,22.79,9.77
2005-10,2005,10,2.44,16.41,27.49,0.131,12.74,7.49,1.16
2005-11,2005,11,1.91,9.17,22.1,0.126,8.06,7.18,3.27
2005-12,2005,12,0.43,7.12,18.7,0.132,6.21,4.5,6.09
2006-01,2006,1,2.42,9.32,15.85,0.148,10.53,6.88,2.96
2006-02,2006,2,4.25,8.66,19.83,0.14,7.55,4.88,6.78
2006-03,2006,3,12.29,13.7,25.64,0.131,9.8,6.44,-2.97
2006-04,2006,4,3.48,11.79,30.16,0.113,10.95,7.96,3.46
2006-05,2006,5,0.89,11.35,34.43,0.097,17.0,12.17,0.46
2006-06,2006,6,10.51,14.51,35.4,0.112,27.86,21.5,1.41
2006-07,2006,7,107.49,51.16,33.35,0.319,62.52,68.39,25.08
2006-08,2006,8,116.72,79.66,32.9,0.357,69.2,74.75,22.65
2006-09,2006,9,39.17,37.79,30.91,0.224,32.1,29.27,9.98
2006-10,2006,10,0.98,14.9,30.38,0.143,15.59,11.04,2.32
2006-11,2006,11,0.7,8.79,22.74,0.138,7.92,4.5,4.75
2006-12,2006,12,1.09,6.47,18.35,0.138,7.33,6.48,-0.32
2007-01,2007,1,4.92,9.29,16.54,0.133,8.16,5.48,-0.8
2007-02,2007,2,7.41,9.26,20.79,0.133,6.77,5.67,0.21
2007-03,2007,3,7.34,16.16,26.61,0.127,9.32,8.51,3.36
2007-04,2007,4,1.78,13.24,31.33,0.108,9.0,5.19,0.17
2007-05,2007,5,4.37,12.48,33.6,0.107,13.19,9.44,-1.76
2007-06,2007,6,7.7,14.92,35.05,0.12,21.88,16.08,1.73
2007-07,2007,7,71.79,50.26,35.25,0.278,52.53,51.78,16.49
2007-08,2007,8,74.04,61.15,31.83,0.35,61.46,59.74,21.75
2007-09,2007,9,24.11,38.03,30.03,0.201,27.83,23.32,3.99
2007-10,2007,10,3.98,17.84,28.86,0.142,13.5,8.59,-0.58
2007-11,2007,11,1.79,8.78,22.61,0.129,8.24,6.49,-1.73
2007-12,2007,12,0.91,7.14,18.12,0.137,6.57,4.89,-4.35
2008-01,2008,1,4.73,8.57,16.59,0.141,7.23,5.36,0.65
2008-02,2008,2,8.1,9.98,18.71,0.131,6.4,4.73,0.53
2008-03,2008,3,7.83,16.37,26.84,0.131,7.55,5.23,-0.28
2008-04,2008,4,2.79,11.93,31.46,0.117,8.32,4.5,-2.33
2008-05,2008,5,2.09,12.37,34.62,0.099,11.1,9.03,-6.24
2008-06,2008,6,19.5,14.79,35.92,0.122,22.35,16.56,-0.36
2008-07,2008,7,56.63,45.75,35.01,0.249,47.0,45.54,10.35
2008-08,2008,8,59.82,59.27,32.56,0.298,60.24,54.94,11.51
2008-09,2008,9,17.55,36.33,32.3,0.195,26.99,19.21,2.52
2008-10,2008,10,2.85,15.84,28.52,0.148,11.71,7.3,-0.29
2008-11,2008,11,0.5,9.53,22.97,0.133,6.12,5.55,2.33
2008-12,2008,12,1.33,6.56,16.87,0.135,5.52,4.5,-1.88
2009-01,2009,1,1.95,8.36,16.74,0.134,6.62,4.5,-1.75
2009-02,2009,2,5.12,9.71,20.1,0.13,6.74,5.63,-2.4
2009-03,2009,3,9.73,15.62,25.31,0.127,8.48,7.52,-6.57
2009-04,2009,4,1.88,11.36,31.79,0.108,6.89,4.5,-3.91
2009-05,2009,5,2.35,11.82,35.38,0.1,11.61,6.35,-4.08
2009-06,2009,6,7.67,16.82,36.27,0.118,20.0,13.67,3.31
2009-07,2009,7,58.58,47.9,34.37,0.255,50.18,48.11,9.66
2009-08,2009,8,55.25,66.54,31.54,0.284,60.37,55.26,11.42
2009-09,2009,9,20.54,40.53,30.53,0.2,23.44,18.57,1.88
2009-10,2009,10,2.99,16.35,28.56,0.133,9.34,7.8,-6.41
2009-11,2009,11,0.57,9.18,23.98,0.136,6.85,5.31,-1.0
2009-12,2009,12,2.63,6.87,18.26,0.137,6.05,4.5,-1.77
2010-01,2010,1,1.45,7.77,17.38,0.15,11.8,5.73,-1.46
2010-02,2010,2,3.34,9.91,19.58,0.137,8.42,5.65,-6.08
2010-03,2010,3,2.68,15.6,25.33,0.114,10.11,7.14,-1.45
2010-04,2010,4,4.54,11.38,31.44,0.112,11.7,8.09,-8.4
2010-05,2010,5,3.89,11.01,34.15,0.098,15.56,10.54,-4.22
2010-06,2010,6,10.66,15.0,34.87,0.121,27.78,22.07,1.59
2010-07,2010,7,139.21,58.11,33.98,0.326,74.21,84.23,20.99
2010-08,2010,8,130.08,76.39,31.13,0.374,138.5,152.0,41.59
2010-09,2010,9,46.35,39.65,31.45,0.199,74.2,82.5,43.13
2010-10,2010,10,2.96,17.8,28.67,0.15,14.87,10.08,-5.67
2010-11,2010,11,1.13,9.68,23.17,0.133,11.33,8.42,-9.38
2010-12,2010,12,2.67,7.24,17.98,0.137,7.93,6.58,-5.07
2011-01,2011,1,1.13,7.86,17.13,0.148,12.67,8.53,-7.83
2011-02,2011,2,5.08,10.26,21.09,0.124,11.59,7.26,-4.49
2011-03,2011,3,2.91,15.07,26.72,0.124,16.52,12.75,-8.43
2011-04,2011,4,1.79,12.18,30.52,0.103,13.81,9.14,-3.4
2011-05,2011,5,3.24,10.69,34.14,0.096,20.97,15.39,-9.43
2011-06,2011,6,3.96,15.38,34.98,0.105,35.22,27.54,-7.94
2011-07,2011,7,174.98,58.76,32.81,0.386,99.02,107.7,31.66
2011-08,2011,8,223.3,88.69,31.65,0.48,62.0,78.6,31.33
2011-09,2011,9,62.06,43.39,31.91,0.242,48.5,112.4,34.84
2011-10,2011,10,1.12,16.18,28.71,0.131,23.33,18.15,-3.79
2011-11,2011,11,1.88,8.65,22.93,0.126,12.85,7.1,-11.29
2011-12,2011,12,0.68,7.22,18.39,0.135,11.48,10.35,-6.77
2012-01,2012,1,2.49,9.17,15.66,0.133,9.82,6.67,-6.52
2012-02,2012,2,1.73,8.83,19.03,0.132,7.62,7.7,-5.5
2012-03,2012,3,5.98,15.0,26.95,0.118,10.35,9.02,-10.61
2012-04,2012,4,2.14,11.61,30.79,0.11,9.77,5.29,-11.85
2012-05,2012,5,2.98,12.05,33.67,0.1,14.6,7.6,-7.65
2012-06,2012,6,16.35,17.37,34.65,0.116,26.76,19.12,-5.7
2012-07,2012,7,74.68,49.3,34.2,0.307,50.96,50.68,10.44
2012-08,2012,8,90.64,68.15,31.59,0.315,62.84,65.61,13.26
2012-09,2012,9,33.52,40.12,31.75,0.213,29.78,28.95,-2.09
2012-10,2012,10,1.92,16.13,28.12,0.148,12.57,8.47,-7.28
2012-11,2012,11,1.89,8.66,22.34,0.132,8.46,5.18,-7.91
2012-12,2012,12,1.64,6.68,18.39,0.149,7.66,4.79,-9.92
2013-01,2013,1,2.78,9.2,16.21,0.138,8.0,6.67,-3.87
2013-02,2013,2,8.6,9.54,20.14,0.131,7.32,4.5,-6.89
2013-03,2013,3,4.35,14.58,26.43,0.118,8.71,5.75,-12.34
2013-04,2013,4,1.91,13.29,30.97,0.119,7.74,5.69,-8.18
2013-05,2013,5,4.33,12.85,34.98,0.109,11.27,8.04,-12.43
2013-06,2013,6,18.89,17.31,35.66,0.115,23.69,18.38,-5.74
2013-07,2013,7,57.86,42.47,34.45,0.263,45.6,45.59,6.82
2013-08,2013,8,65.65,70.57,31.7,0.334,59.7,57.82,5.75
2013-09,2013,9,20.45,38.44,32.06,0.195,25.46,20.49,-2.26
2013-10,2013,10,2.55,15.28,29.45,0.147,12.59,8.62,-8.38
2013-11,2013,11,1.7,9.48,22.96,0.137,7.49,4.5,-8.02
2013-12,2013,12,1.63,7.51,17.93,0.144,5.58,4.5,-5.19
2014-01,2014,1,1.35,8.79,17.59,0.142,7.37,5.72,-10.81
2014-02,2014,2,6.77,9.0,21.14,0.13,6.57,7.25,-11.88
2014-03,2014,3,8.16,14.5,26.07,0.121,6.78,5.01,-12.5
2014-04,2014,4,1.52,12.33,31.31,0.108,8.33,5.92,-13.97
2014-05,2014,5,1.75,11.85,33.94,0.097,13.01,8.64,-12.66
2014-06,2014,6,4.49,14.0,36.47,0.119,21.67,16.03,-10.46
2014-07,2014,7,48.18,43.51,33.54,0.253,50.77,46.61,1.16
2014-08,2014,8,60.51,57.48,32.66,0.286,49.86,48.77,5.57
2014-09,2014,9,18.28,37.99,31.56,0.191,25.62,19.25,-6.73
2014-10,2014,10,4.33,17.13,28.86,0.147,10.07,5.14,-7.12
2014-11,2014,11,1.45,9.74,23.67,0.131,7.1,4.5,-12.62
2014-12,2014,12,1.99,7.36,18.03,0.146,5.74,4.5,-4.61
2015-01,2015,1,3.01,8.03,16.21,0.141,8.63,6.86,-10.02
2015-02,2015,2,8.18,9.34,20.32,0.127,8.22,7.78,-13.65
2015-03,2015,3,6.64,14.5,25.4,0.117,9.39,7.34,-14.95
2015-04,2015,4,3.6,12.71,30.72,0.115,10.08,5.91,-11.74
2015-05,2015,5,1.26,12.61,34.25,0.101,14.64,8.82,-14.55
2015-06,2015,6,14.89,16.32,35.28,0.118,26.13,19.9,-9.61
2015-07,2015,7,80.5,54.04,33.38,0.272,47.06,51.41,5.66
2015-08,2015,8,90.66,73.07,31.93,0.346,78.4,71.66,8.64
2015-09,2015,9,28.21,39.19,32.11,0.2,29.86,24.77,-8.64
2015-10,2015,10,0.82,16.0,30.51,0.136,14.01,10.05,-17.11
2015-11,2015,11,0.7,10.28,22.89,0.136,7.45,4.53,-14.59
2015-12,2015,12,1.87,6.92,18.47,0.145,6.95,6.09,-10.93
2016-01,2016,1,4.67,8.35,15.99,0.148,7.23,4.5,-12.13
2016-02,2016,2,3.71,9.42,19.39,0.135,6.03,4.5,-16.58
2016-03,2016,3,5.01,13.64,26.16,0.119,8.59,6.47,-13.61
2016-04,2016,4,4.59,12.08,30.78,0.12,8.67,5.97,-13.24
2016-05,2016,5,0.76,12.41,34.8,0.1,13.96,8.11,-17.92
2016-06,2016,6,4.76,15.72,34.55,0.115,20.34,12.36,-14.26
2016-07,2016,7,57.57,48.5,33.58,0.255,44.12,44.57,-1.11
2016-08,2016,8,67.67,63.55,31.7,0.299,59.02,54.68,-0.97
2016-09,2016,9,23.55,34.98,31.08,0.186,24.42,19.48,-8.49
2016-10,2016,10,2.66,17.22,28.4,0.135,11.18,7.02,-13.29
2016-11,2016,11,1.6,8.6,22.17,0.125,6.77,7.11,-12.68
2016-12,2016,12,1.75,7.43,17.68,0.141,6.7,5.12,-12.22
2017-01,2017,1,1.19,8.92,16.18,0.132,6.54,6.15,-18.88
2017-02,2017,2,4.04,9.93,20.8,0.123,5.97,5.08,-17.84
2017-03,2017,3,7.31,14.62,26.49,0.13,6.73,5.9,-13.57
2017-04,2017,4,4.41,12.68,31.14,0.104,7.72,6.89,-15.19
2017-05,2017,5,0.77,11.36,33.6,0.096,10.32,5.74,-16.18
2017-06,2017,6,9.95,14.44,35.24,0.118,19.66,15.19,-5.72
2017-07,2017,7,59.0,43.09,33.95,0.257,41.99,43.89,-1.14
2017-08,2017,8,63.3,60.77,32.22,0.293,52.14,49.92,2.23
2017-09,2017,9,17.21,36.83,31.01,0.203,28.77,22.93,-8.87
2017-10,2017,10,1.39,15.98,29.95,0.138,10.81,6.91,-14.74
2017-11,2017,11,1.58,8.76,22.58,0.131,7.4,4.57,-17.54
2017-12,2017,12,2.34,7.39,18.09,0.133,5.31,4.5,-14.79
2018-01,2018,1,1.3,9.24,16.21,0.143,6.29,4.5,-50.83
2018-02,2018,2,2.12,9.93,20.17,0.135,4.99,4.52,-49.62
2018-03,2018,3,12.55,14.99,25.59,0.129,6.39,6.89,-50.38
2018-04,2018,4,3.81,11.74,30.78,0.11,5.61,6.98,-49.09
2018-05,2018,5,2.39,12.39,33.48,0.103,10.36,6.73,-43.64
2018-06,2018,6,10.72,16.82,35.58,0.111,16.72,12.23,-54.23
2018-07,2018,7,29.6,42.73,34.15,0.261,39.66,33.2,-47.98
2018-08,2018,8,32.2,60.55,32.34,0.301,46.67,41.09,-53.86
2018-09,2018,9,9.05,38.74,31.36,0.172,21.0,14.4,-51.15
2018-10,2018,10,3.56,17.07,30.36,0.14,8.09,8.17,-47.38
2018-11,2018,11,0.89,9.99,22.98,0.136,5.87,6.46,-50.07
2018-12,2018,12,0.49,6.45,17.25,0.133,5.42,4.5,-53.06
2019-01,2019,1,2.89,8.17,16.79,0.147,9.24,6.83,-19.58
2019-02,2019,2,8.69,9.04,20.66,0.139,8.44,6.15,-15.67
2019-03,2019,3,5.74,14.13,26.71,0.129,10.26,7.4,-20.17
2019-04,2019,4,2.85,12.56,30.34,0.11,9.67,6.76,-19.13
2019-05,2019,5,2.51,11.48,34.25,0.103,12.32,7.43,-20.03
2019-06,2019,6,19.58,14.62,36.54,0.125,21.44,17.12,-18.46
2019-07,2019,7,67.29,50.57,33.82,0.265,52.44,50.86,1.15
2019-08,2019,8,74.33,64.61,31.44,0.338,58.01,58.13,1.22
2019-09,2019,9,24.31,39.25,31.26,0.206,29.02,25.81,-18.35
2019-10,2019,10,3.43,17.1,29.15,0.152,11.26,8.56,-18.25
2019-11,2019,11,1.17,10.01,22.76,0.121,7.7,4.79,-22.08
2019-12,2019,12,2.44,6.49,16.87,0.15,6.73,5.66,-17.08
2020-01,2020,1,3.67,9.02,16.39,0.146,10.05,12.4,-21.3
2020-02,2020,2,0.87,9.18,19.82,0.133,8.56,8.2,-20.68
2020-03,2020,3,10.07,15.54,25.37,0.123,9.04,14.1,-18.28
2020-04,2020,4,5.05,12.41,31.16,0.106,9.92,9.5,-18.95
2020-05,2020,5,2.85,11.71,34.73,0.101,17.06,6.8,-24.78
2020-06,2020,6,5.15,15.1,36.33,0.111,28.0,11.2,-22.0
2020-07,2020,7,61.67,44.02,34.69,0.291,58.29,42.5,-6.81
2020-08,2020,8,167.26,92.89,31.8,0.447,78.7,98.4,14.69
2020-09,2020,9,37.56,36.84,31.61,0.202,35.09,34.2,-8.65
2020-10,2020,10,2.5,15.34,30.09,0.149,13.82,11.0,-19.56
2020-11,2020,11,0.16,8.98,23.99,0.136,8.1,7.5,-24.73
2020-12,2020,12,0.75,7.66,17.93,0.131,7.86,6.2,-19.53
2021-01,2021,1,0.83,7.77,16.7,0.136,7.26,6.5,-16.44
2021-02,2021,2,0.85,9.11,20.66,0.125,6.9,6.8,-19.74
2021-03,2021,3,3.89,14.17,26.97,0.126,7.81,10.2,-25.75
2021-04,2021,4,3.39,13.09,30.6,0.112,8.06,8.9,-23.94
2021-05,2021,5,3.48,12.32,34.53,0.102,10.26,9.4,-20.08
2021-06,2021,6,16.39,17.39,34.89,0.122,20.21,18.2,-22.41
2021-07,2021,7,53.97,49.53,35.41,0.264,39.85,38.6,-8.35
2021-08,2021,8,4.73,48.76,32.56,0.249,49.65,12.1,-15.64
2021-09,2021,9,76.11,42.68,32.17,0.225,27.69,52.4,-10.28
2021-10,2021,10,1.27,17.3,28.36,0.133,11.74,9.8,-23.15
2021-11,2021,11,0.25,9.07,24.58,0.126,7.13,6.1,-31.68
2021-12,2021,12,2.74,6.85,17.71,0.151,6.49,7.8,-24.89
2022-01,2022,1,8.98,9.19,17.11,0.144,17.82,11.2,-22.44
2022-02,2022,2,1.24,8.62,20.18,0.127,14.85,7.5,-26.9
2022-03,2022,3,2.7,13.46,26.13,0.116,17.08,8.9,-20.06
2022-04,2022,4,1.58,10.95,29.64,0.116,17.53,7.2,-28.02
2022-05,2022,5,0.13,10.85,35.32,0.096,24.57,5.8,-26.69
2022-06,2022,6,7.35,16.02,36.09,0.115,44.68,12.4,-23.56
2022-07,2022,7,226.73,74.59,34.48,0.417,88.6,148.5,44.48
2022-08,2022,8,166.37,87.36,32.38,0.443,126.4,124.8,37.16
2022-09,2022,9,18.72,40.88,32.15,0.206,42.1,28.6,43.52
2022-10,2022,10,0.0,15.39,30.13,0.137,24.76,9.5,-24.62
2022-11,2022,11,0.22,9.26,23.22,0.127,15.45,6.8,-27.6
2022-12,2022,12,0.18,6.96,17.5,0.146,12.8,6.2,-23.37
2023-01,2023,1,1.1,8.8,16.59,0.14,9.32,7.2,-24.26
2023-02,2023,2,1.16,9.3,20.56,0.137,7.28,7.8,-26.5
2023-03,2023,3,5.79,16.26,26.02,0.124,10.32,12.5,-24.79
2023-04,2023,4,5.26,13.36,31.18,0.109,10.34,11.8,-26.74
2023-05,2023,5,8.98,11.9,35.1,0.11,12.99,15.4,-25.03
2023-06,2023,6,24.83,15.03,35.51,0.128,24.65,26.2,-20.69
2023-07,2023,7,126.69,55.46,34.31,0.343,55.34,82.4,5.36
2023-08,2023,8,1.49,49.98,31.33,0.268,74.15,18.5,-23.61
2023-09,2023,9,16.51,40.53,32.48,0.2,29.2,22.1,-15.78
2023-10,2023,10,1.55,17.64,28.54,0.139,13.99,10.2,-30.81
2023-11,2023,11,1.64,9.73,24.45,0.121,8.96,8.5,-27.15
2023-12,2023,12,0.19,6.63,18.32,0.149,7.82,6.8,-24.54
2024-01,2024,1,2.31,9.4,17.95,0.143,7.84,9.1,-25.36
2024-02,2024,2,7.89,9.15,21.11,0.137,7.17,14.2,-27.16
2024-03,2024,3,4.37,14.33,25.65,0.124,10.41,11.5,-27.3
2024-04,2024,4,5.02,11.29,30.03,0.115,10.29,12.8,-28.41
2024-05,2024,5,1.79,11.23,34.93,0.108,15.54,8.2,-29.55
2024-06,2024,6,15.38,16.13,35.99,0.119,24.94,22.4,-23.61
2024-07,2024,7,71.46,44.18,34.65,0.278,53.97,52.8,-10.2
2024-08,2024,8,151.83,83.6,32.4,0.411,70.56,94.6,4.42
2024-09,2024,9,9.51,34.65,31.18,0.186,37.46,18.2,-22.08
2024-10,2024,10,6.15,15.34,28.73,0.147,14.65,12.5,-25.76
2024-11,2024,11,0.03,10.31,24.1,0.128,8.87,6.5,-26.31
2024-12,2024,12,0.1,7.25,17.51,0.13,8.37,6.0,-26.81
